feature,importance_L2coef,importance_permutation,importance_blended
rp_tm_C,0.412628544988258,0.38197550312524964,0.39730202405675374
guide_mfe_kcal,0.2729759832030849,0.16598901067077693,0.21948249693693087
rp_self_dimer_pct,0.11015872353276493,0.17617331964418315,0.143166021588474
fp_rp_cross_dimer_pct,0.07886852184970246,0.12429439715984154,0.10158145950477197
delta_tm_C,0.051531659197431856,0.09569221187723602,0.07361193553733393
fp_self_dimer_pct,0.0494599243505011,0.04946032482453309,0.049460124587517085
fp_tm_C,0.024376642878256815,0.006415232698179702,0.015395937788218255
