feature,importance_coef_L2,importance_perm,importance_blended,importance_balanced
rp_tm_C,0.412628544988258,0.38197550312524964,0.39730202405675374,0.1982222431082564
guide_mfe_kcal,0.2729759832030849,0.16598901067077693,0.21948249693693087,0.19409669169064625
rp_self_dimer_pct,0.11015872353276493,0.17617331964418315,0.143166021588474,0.15676105052440398
fp_rp_cross_dimer_pct,0.07886852184970246,0.12429439715984154,0.10158145950477197,0.13204604902018005
fp_tm_C,0.024376642878256815,0.006415232698179702,0.015395937788218255,0.11432775087336416
delta_tm_C,0.051531659197431856,0.09569221187723602,0.07361193553733393,0.1124067277866203
fp_self_dimer_pct,0.0494599243505011,0.04946032482453309,0.049460124587517085,0.0921394869965288
